run_id,arch_name,dataset,noise_level,seed,run_seed,model_index,epochs,lr,num_metric_samples,in_channels,num_classes,input_size,gen_depth,gen_stages,gen_channels_str,lce,lpa,final_acc,asymptotic_tbd_mean,asymptotic_tbd_std,tau,total_tbd
plain_cnn_bn-m1-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1043,1,20,0.001,1000,1,10,28,32,nan,"[128, 16, 512, 128, 16, 64, 512, 16, 256, 16, 512, 256, 256, 64, 32, 256, 16, 16, 64, 512, 64, 64, 128, 128, 512, 512, 256, 16, 16, 256, 16, 512]",2.7219280948873625,0.12695431965381032,69.89,2625.67732925415,716.9729713587232,0.10180459041468821,67463.07105350494
plain_cnn_bn-m1-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1043,1,20,0.001,1000,1,10,28,32,nan,"[128, 16, 512, 128, 16, 64, 512, 16, 256, 16, 512, 256, 256, 64, 32, 256, 16, 16, 64, 512, 64, 64, 128, 128, 512, 512, 256, 16, 16, 256, 16, 512]",2.5219280948873637,0.11621020619322826,68.5,3293.548595428467,667.967287934734,4.290207326899888,74700.6868391037
plain_cnn_bn-m1-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1043,1,20,0.001,1000,1,10,28,32,nan,"[128, 16, 512, 128, 16, 64, 512, 16, 256, 16, 512, 256, 256, 64, 32, 256, 16, 16, 64, 512, 64, 64, 128, 128, 512, 512, 256, 16, 16, 256, 16, 512]",2.6464393446710157,0.11425803021728319,8.56,3198.20290145874,1297.0145405056678,0.10000000024415198,89425.28616094589
plain_cnn_bn-m2-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1044,2,20,0.001,1000,1,10,28,60,nan,"[128, 32, 256, 256, 64, 64, 32, 32, 32, 512, 32, 32, 256, 512, 256, 32, 32, 256, 32, 512, 512, 512, 16, 128, 32, 128, 16, 512, 64, 64, 32, 128, 16, 512, 64, 512, 128, 16, 128, 64, 64, 256, 256, 128, 64, 256, 64, 128, 32, 32, 512, 128, 64, 256, 16, 256, 128, 64, 16, 16]",2.170950594454669,0.11425803021728319,10.73,13041.10902481079,6752.118429195408,2.381152587244001,203197.55041623116
plain_cnn_bn-m2-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1044,2,20,0.001,1000,1,10,28,60,nan,"[128, 32, 256, 256, 64, 64, 32, 32, 32, 512, 32, 32, 256, 512, 256, 32, 32, 256, 32, 512, 512, 512, 16, 128, 32, 128, 16, 512, 64, 64, 32, 128, 16, 512, 64, 512, 128, 16, 128, 64, 64, 256, 256, 128, 64, 256, 64, 128, 32, 32, 512, 128, 64, 256, 16, 256, 128, 64, 16, 16]",2.2464393446710167,0.11718772329977763,13.17,17671.777460861205,8884.045583289728,0.10000000000000239,225084.00401878357
plain_cnn_bn-m2-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1044,2,20,0.001,1000,1,10,28,60,nan,"[128, 32, 256, 256, 64, 64, 32, 32, 32, 512, 32, 32, 256, 512, 256, 32, 32, 256, 32, 512, 512, 512, 16, 128, 32, 128, 16, 512, 64, 64, 32, 128, 16, 512, 64, 512, 128, 16, 128, 64, 64, 256, 256, 128, 64, 256, 64, 128, 32, 32, 512, 128, 64, 256, 16, 256, 128, 64, 16, 16]",2.046439344671015,0.11328051311073382,9.54,8014.952937889099,3509.409912285912,0.28969567408062086,165639.60797452927
plain_cnn_bn-m3-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1045,3,20,0.001,1000,1,10,28,48,nan,"[128, 128, 512, 512, 256, 16, 64, 16, 256, 256, 256, 16, 32, 16, 512, 16, 512, 512, 64, 64, 16, 512, 64, 512, 256, 64, 512, 32, 256, 16, 64, 32, 32, 512, 64, 16, 64, 128, 256, 256, 128, 64, 512, 256, 32, 256, 128, 512]",2.6464393446710157,0.11230299600418446,10.35,8774.126615190506,1499.9098092128932,0.10000000000000002,193928.8382151127
plain_cnn_bn-m3-mnist-n50-s42,plain_cnn_bn,mnist,0.5,42,1045,3,20,0.001,1000,1,10,28,48,nan,"[128, 128, 512, 512, 256, 16, 64, 16, 256, 256, 256, 16, 32, 16, 512, 16, 512, 512, 64, 64, 16, 512, 64, 512, 256, 64, 512, 32, 256, 16, 64, 32, 32, 512, 64, 16, 64, 128, 256, 256, 128, 64, 512, 256, 32, 256, 128, 512]",2.7219280948873625,0.11230585424133811,16.85,9988.293980026245,4001.4355483475065,1.4392930727566207,651409.0656375885
plain_cnn_bn-m3-mnist-n100-s42,plain_cnn_bn,mnist,1.0,42,1045,3,20,0.001,1000,1,10,28,48,nan,"[128, 128, 512, 512, 256, 16, 64, 16, 256, 256, 256, 16, 32, 16, 512, 16, 512, 512, 64, 64, 16, 512, 64, 512, 256, 64, 512, 32, 256, 16, 64, 32, 32, 512, 64, 16, 64, 128, 256, 256, 128, 64, 512, 256, 32, 256, 128, 512]",2.9219280948873627,0.1220724505953708,10.21,10580.357865715026,1812.2675943512957,0.10000000000810427,187471.39336824417
plain_cnn_bn-m4-mnist-n0-s42,plain_cnn_bn,mnist,0.0,42,1046,4,20,0.001,1000,1,10,28,24,nan,"[64, 32, 16, 32, 256, 128, 32, 16, 64, 64, 512, 128, 16, 32, 256, 256, 128, 512, 64, 16, 512, 128, 16, 256]",2.9219280948873627,0.11035082002823939,98.98,870.8085224151612,168.29330222205002,0.5620368108816933,21100.51468372345
